10:30 Course n° 1 Open femmes C-1 500m Éliminatoire 1,col_1,col_2,col_3
Couloir,Club Équipage,Résultats,Temps
5,Onake 2001 Konwanakeren Diabo,1,"2:35,13"
4,Lac-Beauport 2010 Maya Noel,2,"2:43,13"
6,Lac-Beauport 2007 Leia Stephenson,3,"2:45,41"
7,Lac-Beauport 2010 Emma-Rose Nadeau,4,"2:49,78"
3,Lac-Beauport 2011 Olivia Desrosiers-Mc Arthur,5,"2:54,02"
8,Pointe-Claire 2010 Florence Stewart-Mueller,6,"2:58,83"
2,Otterburn 2009 Maelie Levesque,7,"3:01,94"
1,,,
9,,,
10:35 Course n° 2 Open femmes C-1 500m Éliminatoire 2,,,
Couloir,Club Équipage,Résultats,Temps
5,Lac-Beauport 2006 Charlotte C. Desy,1,"2:39,19"
6,Lac-Beauport 2011 Maelle Girard,2,"2:40,83"
4,Cascades 2006 Florence Gauthier,3,"2:42,83"
3,Lac-Beauport 2010 Abigail Harrington,4,"2:43,08"
7,Otterburn 2008 Eloise Gamache,5,"2:56,41"
8,Cascades 2010 Katsya Ranson,6,"3:16,57"
2,Otterburn 2009 Coralie Timmons,7,"3:22,44"
1,,,
9,,,
10:40 Course n° 3 Open femmes C-1 500m Éliminatoire 3,,,
Couloir,Club Équipage,Résultats,Temps
5,Lac-Beauport 2004 Alexia Gagnon,1,"2:33,87"
4,Otterburn 2004 Leanne Castonguay,2,"2:37,07"
6,Trois-Rivières 2007 Flavie Martin,3,"2:39,94"
8,Pointe-Claire 2011 Olive Archambault,4,"2:40,29"
3,Otterburn 2009 Julianne Pronovost,5,"2:41,18"
2,Trois-Rivières 2007 Maeva Emond,6,"2:43,98"
7,Lac-Beauport 2008 Nora-Maelie Turcotte,7,"2:52,45"
1,,,
9,,,
Open femmes K-1 500m,,,
